City of Garland,,,,,,,,,,,,,,,,,,,,,,,,,
,,C1 P2,,,,,,,,,,,,,,,,,,,,,,,
,,C1 P1,,,,Standard Port,bold = Same patch (loopback),,,,,,,,,,,,,,,,,,
,,,,,,Special Port,,,,,,,,,,,,,,,,,,,
,,,,,,EMPTY,,,,,,,,,,,,,,,,,,,
,,,,,,Unplugged Cable,,,,,,,,,,,,,,,,,,,
,,,,,,RE-TEST,,,,,,,,,,,,,,,,,,,
,,Source,,,,Destination,,,,,,,,,,,,,,,,,,,
Type (L1/L2),Physical Location,Device Hostname (Logical),Panel (Physical),Port,,Device Hostname (Logical),Panel (Physical),Port,Notes #1,Notes #2,Labeled?,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,21,,,Fiber Converter Box,,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,22,,N9K EMIT ISCSI B,RS P3,B9,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,23,,"EMIT C2-1-4, PD 1-2-3",RS P3,B4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,24,,"EMIT C1-1-4, PD 2-3-3",RS P3,B3,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,25,,P1-3,RS P2,B14,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,26,,P1-4,RS P2,B13,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,27,,P1-5,RS P2,B15,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,28,,P1-6,RS P2,B16,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,29,,Vacant,RS P3,F1,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,30,,Vacant,RS P3,F2,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,31,,New ISCSI 1-1,RS P3,F7,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,32,,New ISCSI 2-3,RS P3,F8,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,33,,C2-2-1,RS P3,E12,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,34,,Vacant,RS P3,A3,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,35,,Vacant,RS P3,A6,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,36,,Vacant,RS P3,A5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,37,,Vacant,RS P3,F3,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,38,,Vacant,RS P3,F4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,39,,P5-39,RS P2,A6,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,40,,P5-40,RS P2,A5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,41,,P1-33,RS P2,A11,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,42,,P1-34,RS P2,A12,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,43,,P2-47,RS P3,D5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,44,,Vacant,RS P3,D6,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,45,,ISCSI A-1-1,RS P3,D1,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,46,,Vacant,RS P3,D2,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,47,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,,RS P1,48,,,EMPTY,-,,,,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,49,,P2-38,RS P3,A7 or A8,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,50,,P2-37,RS P3,A7 or A8,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,51,,"P2-49 PD 1-7-6, CH 1-10",RS P3,A9 or A10,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,52,,"P2-50 PD 1-7-6, CH 1-10",RS P3,A9 or A10,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,53,,ISCSI B-1-2,RS P3,F12,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,54,,C2-7-2,RS P3,D4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,55,,P4-65 New ISCSI to RW,RS P3,D4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,56,,P4-56,RS P3,E1,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,57,,P1-40,RS P3,E2,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,58,,Vacant,RS P3,C2,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,59,,P4-67,RS P3,E3,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,60,,P4-68 New ISCSI to RW,RS P3,E4,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,61,,P7-C-5,RS P3,E5,,,Y,,,,,,,,,,,,,,
Fiber,Radio Shop,CH,RS P1,62,,P7-C-6,RS P3,E6,,,Y,,,,,,,,,,,,,,
